Dataset,Target,Condition,Run,Model,RMSE,PICP80_%,n_windows
anomaly_free,Accelerometer1RMS,RPM 10%,6,Chronos-2,0.0017810260051250237,74.72602739726028,73
anomaly_free,Accelerometer1RMS,RPM 10%,6,TimesFM-2.5,0.001795584452282399,76.9406392694064,73
anomaly_free,Accelerometer1RMS,RPM 10%,6,TiRex,0.0018582320971642582,77.48858447488584,73
anomaly_free,Accelerometer1RMS,RPM 10%,7,Chronos-2,0.0018029700587781513,75.0,73
anomaly_free,Accelerometer1RMS,RPM 10%,7,TimesFM-2.5,0.001814426715951052,76.62100456621005,73
anomaly_free,Accelerometer1RMS,RPM 10%,7,TiRex,0.0018691566175012572,76.89497716894978,73
anomaly_free,Accelerometer1RMS,RPM 10%,8,Chronos-2,0.0018127599158443697,75.18264840182648,73
anomaly_free,Accelerometer1RMS,RPM 10%,8,TimesFM-2.5,0.001827114974029402,77.03196347031962,73
anomaly_free,Accelerometer1RMS,RPM 10%,8,TiRex,0.0018692354545362434,76.7579908675799,73
anomaly_free,Accelerometer1RMS,RPM 10%,9,Chronos-2,0.0017855594402872625,75.0228310502283,73
anomaly_free,Accelerometer1RMS,RPM 10%,9,TimesFM-2.5,0.0017928998564391738,76.82648401826484,73
anomaly_free,Accelerometer1RMS,RPM 10%,9,TiRex,0.0018490734607535522,76.7579908675799,73
anomaly_free,Accelerometer1RMS,RPM 20%,0,Chronos-2,0.001830378508360134,74.15525114155251,73
anomaly_free,Accelerometer1RMS,RPM 20%,0,TimesFM-2.5,0.0018331828061586932,76.64383561643837,73
anomaly_free,Accelerometer1RMS,RPM 20%,0,TiRex,0.001873210160219633,76.9406392694064,73
anomaly_free,Accelerometer1RMS,RPM 20%,1,Chronos-2,0.0018081210780197012,73.9041095890411,73
anomaly_free,Accelerometer1RMS,RPM 20%,1,TimesFM-2.5,0.001817678991461357,75.79908675799086,73
anomaly_free,Accelerometer1RMS,RPM 20%,1,TiRex,0.001840611531579462,75.75342465753425,73
anomaly_free,Accelerometer1RMS,RPM 20%,2,Chronos-2,0.0018680144844059725,74.20091324200914,73
anomaly_free,Accelerometer1RMS,RPM 20%,2,TimesFM-2.5,0.0018568153651170659,76.36986301369863,73
anomaly_free,Accelerometer1RMS,RPM 20%,2,TiRex,0.0018215687817937129,76.43835616438356,73
anomaly_free,Accelerometer1RMS,RPM 20%,3,Chronos-2,0.0018342159376487884,74.47488584474885,73
anomaly_free,Accelerometer1RMS,RPM 20%,3,TimesFM-2.5,0.0018795535732784776,76.02739726027397,73
anomaly_free,Accelerometer1RMS,RPM 20%,3,TiRex,0.0019147985177964692,74.93150684931507,73
anomaly_free,Accelerometer1RMS,RPM 20%,4,Chronos-2,0.0018387883223405794,74.68036529680366,73
anomaly_free,Accelerometer1RMS,RPM 20%,4,TimesFM-2.5,0.0017984568186452607,76.05022831050229,73
anomaly_free,Accelerometer1RMS,RPM 20%,4,TiRex,0.0018656296296906468,76.00456621004567,73
anomaly_free,Accelerometer1RMS,RPM 20%,5,Chronos-2,0.0018206329312350719,75.77625570776256,73
anomaly_free,Accelerometer1RMS,RPM 20%,5,TimesFM-2.5,0.0018346763198876207,76.68949771689498,73
anomaly_free,Accelerometer1RMS,RPM 20%,5,TiRex,0.001847980143496289,76.84931506849315,73
anomaly_free,Accelerometer1RMS,RPM 20%,6,Chronos-2,0.001820625458046639,75.06849315068493,73
anomaly_free,Accelerometer1RMS,RPM 20%,6,TimesFM-2.5,0.0018339452207591957,76.34703196347033,73
anomaly_free,Accelerometer1RMS,RPM 20%,6,TiRex,0.001863968137229557,76.5068493150685,73
anomaly_free,Accelerometer1RMS,RPM 20%,7,Chronos-2,0.0018561741399666409,74.06392694063926,73
anomaly_free,Accelerometer1RMS,RPM 20%,7,TimesFM-2.5,0.001901477026239011,75.61643835616438,73
anomaly_free,Accelerometer1RMS,RPM 20%,7,TiRex,0.0019136944551270774,75.38812785388129,73
anomaly_free,Accelerometer1RMS,RPM 20%,8,Chronos-2,0.0017955911159913745,75.04566210045662,73
anomaly_free,Accelerometer1RMS,RPM 20%,8,TimesFM-2.5,0.001843212297813606,75.61643835616438,73
anomaly_free,Accelerometer1RMS,RPM 20%,8,TiRex,0.0018444071821188909,76.62100456621005,73
anomaly_free,Accelerometer1RMS,RPM 20%,9,Chronos-2,0.0018031059125638426,74.72602739726028,73
anomaly_free,Accelerometer1RMS,RPM 20%,9,TimesFM-2.5,0.0018947848893760024,75.8675799086758,73
anomaly_free,Accelerometer1RMS,RPM 20%,9,TiRex,0.0018907698041100193,75.13698630136987,73
anomaly_free,Accelerometer1RMS,CBM 100,0,Chronos-2,0.001801151702467032,75.0,73
anomaly_free,Accelerometer1RMS,CBM 100,0,TimesFM-2.5,0.0018216273553727678,80.57077625570777,73
anomaly_free,Accelerometer1RMS,CBM 100,0,TiRex,0.0018548308455250309,79.31506849315069,73
anomaly_free,Accelerometer1RMS,CBM 100,1,Chronos-2,0.001787121509933007,76.07305936073058,73
anomaly_free,Accelerometer1RMS,CBM 100,1,TimesFM-2.5,0.0018226566778693828,80.68493150684931,73
anomaly_free,Accelerometer1RMS,CBM 100,1,TiRex,0.001817448929844448,80.36529680365297,73
anomaly_free,Accelerometer1RMS,CBM 100,2,Chronos-2,0.001807301316294586,75.50228310502283,73
anomaly_free,Accelerometer1RMS,CBM 100,2,TimesFM-2.5,0.0018143588563870842,79.47488584474885,73
anomaly_free,Accelerometer1RMS,CBM 100,2,TiRex,0.001839422074554761,79.93150684931507,73
anomaly_free,Accelerometer1RMS,CBM 100,3,Chronos-2,0.0017931446620293367,76.05022831050229,73
anomaly_free,Accelerometer1RMS,CBM 100,3,TimesFM-2.5,0.0018320468737631286,80.79908675799086,73
anomaly_free,Accelerometer1RMS,CBM 100,3,TiRex,0.0018494324728795604,80.11415525114155,73
anomaly_free,Accelerometer1RMS,CBM 100,4,Chronos-2,0.001828191045921225,74.61187214611871,73
anomaly_free,Accelerometer1RMS,CBM 100,4,TimesFM-2.5,0.0018682853914513617,80.47945205479452,73
anomaly_free,Accelerometer1RMS,CBM 100,4,TiRex,0.0019065634456492471,79.42922374429223,73
anomaly_free,Accelerometer1RMS,CBM 100,5,Chronos-2,0.0018054283448911896,75.93607305936074,73
anomaly_free,Accelerometer1RMS,CBM 100,5,TimesFM-2.5,0.0018408755564320708,80.45662100456622,73
anomaly_free,Accelerometer1RMS,CBM 100,5,TiRex,0.0018486274682309606,80.54794520547945,73
anomaly_free,Accelerometer1RMS,CBM 100,6,Chronos-2,0.0018049863437521211,75.04566210045662,73
anomaly_free,Accelerometer1RMS,CBM 100,6,TimesFM-2.5,0.0018065192472698503,80.73059360730593,73
anomaly_free,Accelerometer1RMS,CBM 100,6,TiRex,0.0018100292383321582,80.68493150684931,73
anomaly_free,Accelerometer1RMS,CBM 100,7,Chronos-2,0.0017293469847731262,77.55707762557078,73
anomaly_free,Accelerometer1RMS,CBM 100,7,TimesFM-2.5,0.0018042344973655611,79.22374429223744,73
anomaly_free,Accelerometer1RMS,CBM 100,7,TiRex,0.0017598850147934812,80.75342465753424,73
anomaly_free,Accelerometer1RMS,CBM 100,8,Chronos-2,0.0017961493259267501,76.23287671232876,73
anomaly_free,Accelerometer1RMS,CBM 100,8,TimesFM-2.5,0.0018997482943217566,79.49771689497716,73
anomaly_free,Accelerometer1RMS,CBM 100,8,TiRex,0.001819799894433329,80.09132420091323,73
anomaly_free,Accelerometer1RMS,CBM 100,9,Chronos-2,0.0018385463560204637,75.31963470319634,73
anomaly_free,Accelerometer1RMS,CBM 100,9,TimesFM-2.5,0.0018615806526833016,80.11415525114155,73
anomaly_free,Accelerometer1RMS,CBM 100,9,TiRex,0.001817904017983124,80.04566210045661,73
